Category, old, new, diff
Date, 20100606, 20100611, 20100611, 

# Accessions, 12357, 12438, 81, 

# Samples, 533, 543, 10, 

# Samples greater than 4x, 434, 439, 5, 

Population in Gb, 
ASW,  645,  645, 0, 
CEU, 2329, 2368, 39, 
CHB, 1127, 1135, 8, 
CHS,  117,  168, 51, 
GBR,  141,  141, 0, 
JPT, 1805, 1841, 36, 
LWK, 1087, 1087, 0, 
MXL,  216,  216, 0, 
TSI, 1252, 1257, 5, 
YRI, 1535, 1534, -1, 
total, 10254, 10392, 138, 


Platform in Gb, 
ABI_SOLID, 1490, 1490, 0, 
ILLUMINA, 8568, 8706, 138, 
LS454,  196,  197, 1, 
total, 10254, 10392, 138, 


Center in Gb, 
454MSC,   64,   64, 0, 
ABI,  290,  290, 0, 
BCM, 1007, 1007, 0, 
BGI,  659,  659, 0, 
BI, 3863, 3863, 0, 
ILLUMINA,  521,  521, 0, 
MPIMG,  499,  525, 26, 
SC, 2913, 3024, 111, 
WUGSC,  439,  439, 0, 
total, 10254, 10392, 138, 


