Category, old, new, diff
Date, 20101101, 20101123, 20110125, 

# Accessions, 0, 214, 214, 

# Samples, 0, 113, 113, 

# Samples greater than 10Gb, , 57, 57, 

Population in Gb, 
ASW, , 218.2976618, 218.2976618, 
CEU, , 89.8269938, 89.8269938, 
CLM, , 126.4365265, 126.4365265, 
FIN, , 93.9487891, 93.9487891, 
GBR, , 48.2818131, 48.2818131, 
JPT, , 106.2125625, 106.2125625, 
LWK, , 80.6606482, 80.6606482, 
MXL, , 145.7787442, 145.7787442, 
PUR, , 58.1634951, 58.1634951, 
TSI, , 27.2574052, 27.2574052, 
YRI, , 90.9241466, 90.9241466, 
total, , 1085.7887861, 1085.7887861, 


Platform in Gb, 
ILLUMINA, , 1085.7887861, 1085.7887861, 
total, , 1085.7887861, 1085.7887861, 


Center in Gb, 
WUGSC, , 1085.7887861, 1085.7887861, 
total, , 1085.7887861, 1085.7887861, 


