Category, old, new, diff
Date, 20110124, 20110228, 20110228, 

# Accessions, 14081, 10040, -4041, 

# Samples, 1167, 1138, -29, 

# Samples greater than 10Gb, 1151, 1110, -41, 

Population in Gb, 
ASW, 1590.10, 1590.10, 0, 
CEU, 2486.92, 1733.88, -753.04, 
CHB, 1923.92, 1892.58, -31.3400000000001, 
CHS, 1618.77, 1618.77, 0, 
CLM, 1757.53, 1673.83, -83.7, 
FIN, 1885.70, 1902.52, 16.8199999999999, 
GBR, 2029.73, 1998.90, -30.8299999999999, 
IBS, 665.57, 814.93, 149.36, 
JPT, 2607.58, 2430.42, -177.16, 
LWK, 2324.29, 2251.11, -73.1799999999998, 
MXL, 1671.68, 1634.64, -37.04, 
PUR, 1485.60, 1322.04, -163.56, 
TSI, 1434.48, 1439.79, 5.30999999999995, 
YRI, 2226.07, 2004.37, -221.7, 
total, 25707.94, 24307.88, -1400.06, 


Platform in Gb, 
ABI_SOLID, 7320.84, 6183.93, -1136.91, 
ILLUMINA, 18198.24, 17943.00, -255.240000000002, 
LS454, 188.86, 180.95, -7.91000000000003, 
total, 25707.94, 24307.88, -1400.06, 


Center in Gb, 
454MSC, 54.86, 54.51, -0.350000000000001, 
ABI, 290.09, 0.38, -289.71, 
BCM, 5132.61, 4308.78, -823.83, 
BGI, 4253.83, 4238.30, -15.5299999999997, 
BI, 5961.24, 5666.95, -294.29, 
ILLUMINA, 707.09, 852.67, 145.58, 
MPIMG, 1807.78, 1857.30, 49.52, 
SC, 5362.88, 5290.71, -72.1700000000001, 
WUGSC, 2137.57, 2038.28, -99.2900000000002, 
total, 25707.94, 24307.88, -1400.06, 


