Category, old, new, diff
Date, 20120130, 20120419, 20120516, 

# Accessions, 13605, 13862, 257, 

# Samples, 1715, 1719, 4, 

# Samples greater than 10Gb, 1210, 1210, 0, 

Population in Gb, 
ACB, 808.46, 857.96, 49.5, 
ASW, 747.21, 747.21, 0, 
CDX, 1244.48, 1225.60, -18.8800000000001, 
CEU, 1389.36, 1396.25, 6.8900000000001, 
CHB, 1259.12, 1259.12, 0, 
CHS, 1018.95, 1018.95, 0, 
CLM, 739.57, 759.41, 19.8399999999999, 
FIN, 1035.49, 1035.49, 0, 
GBR, 1307.20, 1313.84, 6.63999999999987, 
GIH, 1117.62, 1133.55, 15.9300000000001, 
IBS, 1522.78, 1545.41, 22.6300000000001, 
JPT, 1368.90, 1352.43, -16.47, 
KHV, 1491.31, 1499.86, 8.54999999999995, 
LWK, 1511.00, 1511.00, 0, 
MXL, 751.74, 751.74, 0, 
PEL, 1180.50, 1198.16, 17.6600000000001, 
PUR, 983.63, 983.63, 0, 
TSI, 1316.58, 1323.13, 6.55000000000018, 
YRI, 1371.71, 1361.26, -10.45, 
total, 22165.61, 22274.00, 108.389999999999, 


Platform in Gb, 
ABI_SOLID, 7824.27, 7854.76, 30.4899999999998, 
ILLUMINA, 14341.33, 14419.24, 77.9099999999999, 
total, 22165.61, 22274.00, 108.389999999999, 


Center in Gb, 
BCM, 7824.27, 7854.76, 30.4899999999998, 
BGI, 5547.95, 5529.07, -18.8800000000001, 
BI, 5096.40, 5193.19, 96.79, 
WUGSC, 3696.99, 3696.99, 0, 
total, 22165.61, 22274.00, 108.389999999999, 


