Category, old, new, diff
Date, 20121211, 20130218, 20130219, 

# Accessions, 25480, 25605, 125, 

# Samples, 2185, 2186, 1, 

# Samples greater than 10Gb, 2149, 2151, 2, 

Population in Gb, 
ACB, 2377.54, 2406.58, 29.04, 
ASW, 1639.05, 1680.30, 41.25, 
BEB, 929.50, 968.30, 38.8, 
CDX, 1757.25, 1757.25, 0, 
CEU, 2597.02, 2597.02, 0, 
CHB, 2082.15, 2082.15, 0, 
CHS, 2027.23, 2027.23, 0, 
CLM, 2129.14, 2247.59, 118.45, 
ESN, 1561.75, 1588.36, 26.6099999999999, 
FIN, 1998.47, 2164.09, 165.62, 
GBR, 2429.45, 2627.29, 197.84, 
GIH, 2534.40, 2534.40, 0, 
GWD, 3014.09, 3014.09, 0, 
IBS, 2530.43, 2751.32, 220.89, 
ITU, 752.05, 752.05, 0, 
JPT, 3079.59, 3079.59, 0, 
KHV, 2954.13, 2954.13, 0, 
LWK, 2668.21, 2688.60, 20.3899999999999, 
MSL, 1617.10, 1636.72, 19.6200000000001, 
MXL, 1802.96, 1824.72, 21.76, 
PEL, 2316.21, 2316.21, 0, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1874.03, 1874.03, 0, 
STU, 924.82, 924.82, 0, 
TSI, 1537.39, 1619.48, 82.0899999999999, 
YRI, 2620.10, 2744.28, 124.18, 
total, 52857.13, 53963.69, 1106.56, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 41102.30, 42208.86, 1106.56, 
LS454, 187.06, 187.06, 0, 
total, 52857.13, 53963.69, 1106.56, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 8750.76, 8750.76, 0, 
BGI, 7723.97, 7723.97, 0, 
BI, 14192.34, 14225.82, 33.4799999999996, 
ILLUMINA, 1599.96, 1599.96, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 3015.54, 3980.99, 965.45, 
SC, 13298.00, 13405.63, 107.629999999999, 
WUGSC, 4180.01, 4180.01, 0, 
mpimg, 17.65, 17.65, 0, 
total, 52857.13, 53963.69, 1106.56, 


