Category, old, new, diff
Date, 20130218, 20130305, 20130306, 

# Accessions, 16070, 16362, 292, 

# Samples, 1400, 1620, 220, 

# Samples greater than 10Gb, 740, 747, 7, 

Population in Gb, 
ACB, 633.68, 748.52, 114.84, 
ASW, 569.41, 592.21, 22.8000000000001, 
CDX, 860.85, 963.29, 102.44, 
CEU, 825.12, 962.59, 137.47, 
CHB, 845.39, 941.81, 96.42, 
CHS, 955.53, 975.26, 19.73, 
CLM, 442.28, 499.91, 57.6300000000001, 
ESN, 166.20, 166.20, 0, 
FIN, 746.11, 788.42, 42.3099999999999, 
GBR, 833.55, 928.53, 94.98, 
GIH, 782.84, 818.05, 35.2099999999999, 
GWD, 606.30, 631.95, 25.6500000000001, 
IBS, 883.85, 1059.17, 175.32, 
JPT, 975.94, 1082.17, 106.23, 
KHV, 1135.29, 1316.62, 181.33, 
LWK, 380.03, 492.39, 112.36, 
MSL, 118.81, 118.81, 0, 
MXL, 580.06, 592.60, 12.5400000000001, 
PEL, 752.85, 888.37, 135.52, 
PJL, 227.87, 227.87, 0, 
PUR, 983.63, 983.63, 0, 
TSI, 726.76, 726.76, 0, 
YRI, 1056.28, 1110.23, 53.95, 
total, 16088.64, 17615.36, 1526.72, 


Platform in Gb, 
ILLUMINA, 16088.64, 17615.36, 1526.72, 
total, 16088.64, 17615.36, 1526.72, 


Center in Gb, 
BCM, , 1501.07, 1501.07, 
BGI, 5529.07, 5529.07, 0, 
BI, 6901.76, 6927.41, 25.6499999999996, 
WUGSC, 3657.80, 3657.80, 0, 
total, 16088.64, 17615.36, 1526.72, 


