Category, old, new, diff
Date, 20130319, 20130325, 20130325, 

# Accessions, 16513, 17212, 699, 

# Samples, 1783, 1824, 41, 

# Samples greater than 5Gb, 1744, 1775, 31, 

# Samples gt 5Gb by pop, 
ACB, 77, 77, 0, 
ASW, 57, 57, 0, 
CDX, 93, 93, 0, 
CEU, 97, 97, 0, 
CHB, 98, 98, 0, 
CHS, 106, 106, 0, 
CLM, 67, 67, 0, 
ESN, 20, 38, 18, 
FIN, 90, 90, 0, 
GBR, 98, 98, 0, 
GIH, 101, 101, 0, 
GWD, 70, 70, 0, 
IBS, 100, 100, 0, 
JPT, 96, 96, 0, 
KHV, 99, 99, 0, 
LWK, 54, 54, 0, 
MSL, 14, 27, 13, 
MXL, 62, 62, 0, 
PEL, 68, 68, 0, 
PJL, 30, 30, 0, 
PUR, 70, 70, 0, 
TSI, 84, 84, 0, 
YRI, 93, 93, 0, 
total, 1744, 1775, 31, 


Population in Gb, 
ACB, 771.84, 771.84, 0, 
ASW, 611.27, 611.27, 0, 
CDX, 986.10, 986.10, 0, 
CEU, 1044.92, 1044.92, 0, 
CHB, 1035.76, 1035.76, 0, 
CHS, 1011.51, 1011.51, 0, 
CLM, 580.44, 580.44, 0, 
ESN, 166.20, 270.71, 104.51, 
FIN, 864.35, 864.35, 0, 
GBR, 1028.89, 1028.89, 0, 
GIH, 932.78, 932.78, 0, 
GWD, 631.95, 631.95, 0, 
IBS, 1175.13, 1175.13, 0, 
JPT, 1145.15, 1145.15, 0, 
KHV, 1332.16, 1332.16, 0, 
LWK, 538.84, 538.84, 0, 
MSL, 118.81, 231.02, 112.21, 
MXL, 601.09, 601.09, 0, 
PEL, 894.05, 894.05, 0, 
PJL, 227.87, 227.87, 0, 
PUR, 983.63, 983.63, 0, 
TSI, 892.70, 892.70, 0, 
YRI, 1147.07, 1147.07, 0, 
total, 18722.51, 18939.23, 216.720000000001, 


Platform in Gb, 
ILLUMINA, 18722.51, 18939.23, 216.720000000001, 
total, 18722.51, 18939.23, 216.720000000001, 


Center in Gb, 
BCM, 2621.76, 2621.76, 0, 
BGI, 5529.07, 5529.07, 0, 
BI, 6913.88, 7130.60, 216.72, 
WUGSC, 3657.80, 3657.80, 0, 
total, 18722.51, 18939.23, 216.720000000001, 


