Category, old, new, diff
Date, 20130319, 20130325, 20130325, 

# Accessions, 24407, 25026, 619, 

# Samples, 2025, 2049, 24, 

# Samples greater than 10Gb, 1978, 2003, 25, 

# Samples gt 10Gb by pop, 
ACB, 81, 82, 1, 
ASW, 59, 59, 0, 
BEB, 49, 61, 12, 
CDX, 85, 85, 0, 
CEU, 87, 87, 0, 
CHB, 49, 49, 0, 
CHS, 82, 82, 0, 
CLM, 77, 78, 1, 
ESN, 64, 64, 0, 
FIN, 84, 85, 1, 
GBR, 83, 83, 0, 
GIH, 90, 93, 3, 
GWD, 105, 105, 0, 
IBS, 97, 97, 0, 
ITU, 39, 39, 0, 
JPT, 97, 97, 0, 
KHV, 94, 95, 1, 
LWK, 104, 104, 0, 
MSL, 68, 68, 0, 
MXL, 68, 68, 0, 
PEL, 74, 74, 0, 
PJL, 37, 37, 0, 
PUR, 74, 74, 0, 
STU, 49, 49, 0, 
TSI, 98, 98, 0, 
YRI, 84, 90, 6, 
total, 1978, 2003, 25, 


Population in Gb, 
ACB, 1993.05, 2026.72, 33.6700000000001, 
ASW, 1364.73, 1364.73, 0, 
BEB, 968.30, 1465.63, 497.33, 
CDX, 1560.07, 1560.07, 0, 
CEU, 2233.45, 2241.84, 8.39000000000033, 
CHB, 1028.25, 1050.89, 22.6400000000001, 
CHS, 1627.77, 1629.84, 2.06999999999994, 
CLM, 1751.26, 1778.09, 26.8299999999999, 
ESN, 1588.18, 1588.18, 0, 
FIN, 1464.97, 1489.88, 24.9100000000001, 
GBR, 1915.38, 1916.43, 1.04999999999995, 
GIH, 1857.43, 1923.61, 66.1799999999998, 
GWD, 3034.65, 3034.65, 0, 
IBS, 2034.50, 2034.50, 0, 
ITU, 752.05, 752.05, 0, 
JPT, 2495.42, 2521.71, 26.29, 
KHV, 2389.35, 2414.18, 24.8299999999999, 
LWK, 2244.30, 2244.30, 0, 
MSL, 1636.72, 1636.72, 0, 
MXL, 1480.36, 1480.36, 0, 
PEL, 1829.68, 1829.68, 0, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1791.31, 1791.31, 0, 
STU, 924.82, 924.82, 0, 
TSI, 1978.16, 2083.97, 105.81, 
YRI, 1889.13, 2131.72, 242.59, 
total, 44936.39, 46018.98, 1082.59, 


Platform in Gb, 
ILLUMINA, 44936.39, 46018.98, 1082.59, 
total, 44936.39, 46018.98, 1082.59, 


Center in Gb, 
BCM, 4195.54, 4417.15, 221.61, 
BGI, 5257.41, 5257.41, 0, 
BI, 13793.19, 14491.44, 698.25, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 2122.19, 2122.19, 0, 
SC, 14293.90, 14456.62, 162.720000000001, 
WUGSC, 3760.84, 3760.84, 0, 
total, 44936.39, 46018.98, 1082.59, 


