Category, old, new, diff
Date, 20130408, 20130415, 20130415, 

# Accessions, 29325, 29986, 661, 

# Samples, 2501, 2668, 167, 

# Samples greater than 10Gb, 2479, 2658, 179, 

# Samples gt 10Gb by pop, 
ACB, 96, 98, 2, 
ASW, 59, 66, 7, 
BEB, 87, 101, 14, 
CDX, 104, 105, 1, 
CEU, 93, 93, 0, 
CHB, 55, 105, 50, 
CHS, 110, 111, 1, 
CLM, 101, 102, 1, 
ESN, 100, 109, 9, 
FIN, 101, 103, 2, 
GBR, 103, 103, 0, 
GIH, 94, 107, 13, 
GWD, 118, 119, 1, 
IBS, 107, 107, 0, 
ITU, 91, 112, 21, 
JPT, 99, 105, 6, 
KHV, 103, 103, 0, 
LWK, 107, 112, 5, 
MSL, 92, 98, 6, 
MXL, 70, 70, 0, 
PEL, 89, 90, 1, 
PJL, 100, 107, 7, 
PUR, 104, 105, 1, 
STU, 100, 111, 11, 
TSI, 100, 108, 8, 
YRI, 96, 108, 12, 
total, 2479, 2658, 179, 


Population in Gb, 
ACB, 2356.93, 2516.54, 159.61, 
ASW, 1364.73, 1516.35, 151.62, 
BEB, 1906.42, 2299.26, 392.84, 
CDX, 1975.08, 1997.61, 22.53, 
CEU, 2499.49, 2508.46, 8.97000000000025, 
CHB, 1158.14, 2537.94, 1379.8, 
CHS, 2309.16, 2374.01, 64.8500000000004, 
CLM, 2271.38, 2293.55, 22.1700000000001, 
ESN, 2296.99, 2561.92, 264.93, 
FIN, 1935.64, 1979.53, 43.8899999999999, 
GBR, 2474.04, 2474.04, 0, 
GIH, 1938.10, 2259.97, 321.87, 
GWD, 3317.02, 3366.35, 49.3299999999999, 
IBS, 2257.96, 2257.96, 0, 
ITU, 2152.72, 2686.00, 533.28, 
JPT, 2554.93, 2710.86, 155.93, 
KHV, 2624.31, 2683.27, 58.96, 
LWK, 2350.04, 2471.08, 121.04, 
MSL, 2097.12, 2311.55, 214.43, 
MXL, 1508.49, 1508.49, 0, 
PEL, 2180.15, 2210.60, 30.4499999999998, 
PJL, 2381.78, 2639.28, 257.5, 
PUR, 2577.78, 2692.75, 114.97, 
STU, 2505.69, 2836.21, 330.52, 
TSI, 2114.53, 2296.00, 181.47, 
YRI, 2236.27, 2488.08, 251.81, 
total, 57344.87, 62477.67, 5132.8, 


Platform in Gb, 
ILLUMINA, 57344.87, 62477.67, 5132.8, 
total, 57344.87, 62477.67, 5132.8, 


Center in Gb, 
BCM, 4417.15, 4417.15, 0, 
BGI, 10257.32, 14263.62, 4006.3, 
BI, 17562.25, 17985.89, 423.639999999999, 
ILLUMINA, 1495.04, 1944.57, 449.53, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 2122.19, 2122.19, 0, 
SC, 14456.62, 14456.62, 0, 
WUGSC, 7016.01, 7269.34, 253.33, 
total, 57344.87, 62477.67, 5132.8, 


